"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Chanukah: 7 Candles","31/12/2005",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","1/1/2006",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","13/3/2006",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","14/3/2006",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","12/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","13/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","14/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","15/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","16/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","17/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","18/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","19/4/2006",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","1/6/2006",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","2/6/2006",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","2/8/2006",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","3/8/2006",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","22/9/2006",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5767","23/9/2006",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","24/9/2006",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","1/10/2006",,,,"true","Day of Atonement","3","Jewish Holidays"
