"dates","festivities"
"2011-09-29","1st Dhul Qadah"
"2011-10-28","1st Dhul Hijjah"
"2011-11-26","1st Muharram"
"2011-12-26","1st Safar"
"2012-01-24","1st Rabi ul Awal"
"2012-02-23","1st Rabi Al-Akhar"
"2012-03-24","1st Jumada Al-Awwal"
"2012-04-22","1st Jumada Al-Akhirah"
"2012-05-22","1st Rajab"
"2012-06-21","1st Shaban"
"2012-07-20","1st Ramadan"
"2012-08-19","1st Shawwal"
"2012-09-17","1st Dhul Qadah"
"2012-10-17","1st Dhul Hijjah"
"2012-11-15","1st Muharram"
"2012-12-14","1st Safar"
"2013-01-13","1st Rabi ul Awal"
"2013-02-11","1st Rabi Al-Akhar"
"2013-03-13","1st Jumada Al-Awwal"
"2013-04-11","1st Jumada Al-Akhirah"
"2013-05-11","1st Rajab"
"2013-06-10","1st Shaban"
"2013-07-09","1st Ramadan"
"2013-08-08","1st Shawwal"
"2013-09-07","1st Dhul Qadah"
"2013-10-06","1st Dhul Hijjah"
"2013-11-04","1st Muharram"
"2013-12-04","1st Safar"
"2014-01-02","1st Rabi ul Awal"
"2014-02-01","1st Rabi Al-Akhar"
"2014-03-02","1st Jumada Al-Awwal"
"2014-04-01","1st Jumada Al-Akhirah"
"2014-04-30","1st Rajab"
"2014-05-30","1st Shaban"
"2014-06-28","1st Ramadan"
"2014-07-28","1st Shawwal"
"2014-08-27","1st Dhul Qadah"
"2014-09-25","1st Dhul Hijjah"
"2014-10-25","1st Muharram"
"2014-11-23","1st Safar"
"2014-12-23","1st Rabi ul Awal"
"2015-01-21","1st Rabi Al-Akhar"
"2015-02-20","1st Jumada Al-Awwal"
"2015-03-21","1st Jumada Al-Akhirah"
"2015-04-20","1st Rajab"
"2015-05-19","1st Shaban"
"2015-06-18","1st Ramadan"
"2015-07-17","1st Shawwal"
"2015-08-16","1st Dhul Qadah"
"2015-09-14","1st Dhul Hijjah"
"2015-10-14","1st Muharram"
"2015-11-13","1st Safar"
"2015-12-12","1st Rabi ul Awal"
"2016-01-11","1st Rabi Al-Akhar"
"2016-02-10","1st Jumada Al-Awwal"
"2016-03-10","1st Jumada Al-Akhirah"
"2016-04-08","1st Rajab"
"2016-05-08","1st Shaban"
"2016-06-06","1st Ramadan"
"2016-07-06","1st Shawwal"
"2016-08-04","1st Dhul Qadah"
"2016-09-02","1st Dhul Hijjah"
"2016-10-02","1st Muharram"
"2016-11-01","1st Safar"
"2016-11-30","1st Rabi ul Awal"
"2016-12-30","1st Rabi Al-Akhar"
"2017-01-29","1st Jumada Al-Awwal"
"2017-02-28","1st Jumada Al-Akhirah"
"2017-03-29","1st Rajab"
"2017-04-27","1st Shaban"
"2017-05-27","1st Ramadan"
"2017-06-25","1st Shawwal"
"2017-07-24","1st Dhul Qadah"
"2017-08-23","1st Dhul Hijjah"
"2017-09-21","1st Muharram"
"2017-10-21","1st Safar"
"2017-11-19","1st Rabi ul Awal"
"2017-12-19","1st Rabi Al-Akhar"
"2018-01-18","1st Jumada Al-Awwal"
"2018-02-17","1st Jumada Al-Akhirah"
"2018-03-18","1st Rajab"
"2018-04-17","1st Shaban"
"2018-05-16","1st Ramadan"
"2018-06-15","1st Shawwal"
"2018-07-14","1st Dhul Qadah"
"2018-08-12","1st Dhul Hijjah"
"2018-09-11","1st Muharram"
"2018-10-10","1st Safar"
"2018-11-09","1st Rabi ul Awal"
"2018-12-08","1st Rabi Al-Akhar"
"2019-01-07","1st Jumada Al-Awwal"
"2019-02-06","1st Jumada Al-Akhirah"
"2019-03-08","1st Rajab"
"2019-04-06","1st Shaban"
"2019-05-06","1st Ramadan"
"2019-06-04","1st Shawwal"
"2019-07-04","1st Dhul Qadah"
"2019-08-02","1st Dhul Hijjah"
"2019-08-31","1st Muharram"
