"id","year","side_b","adm_1","longitude","latitude","event_clarity","date_prec","where_prec","date_start","date_end","deaths_a","deaths_b","deaths_civilians","deaths_unknown","best"
179489,2006,"Fatah","Gaza Strip",34.5,31.55,1,1,3,2006-02-06,2006-02-06,0,2,0,0,2
179490,2006,"Fatah","Gaza Strip",34.45,31.516667,1,1,1,2006-02-07,2006-02-07,0,2,0,0,2
177854,2006,"Fatah","Gaza Strip",34.402939,31.439531,1,1,1,2006-02-08,2006-02-08,0,2,0,0,2
179491,2006,"Fatah","Gaza Strip",34.544839,31.5582,1,1,1,2006-02-09,2006-02-09,0,1,0,0,1
179492,2006,"Fatah","West Bank",35.286583,32.206406,1,1,1,2006-03-30,2006-03-30,0,0,0,0,0
179493,2006,"Fatah","West Bank",35.216667,31.7,1,1,1,2006-04-03,2006-04-03,0,1,0,0,1
179494,2006,"Fatah","Gaza Strip",34.45,31.516667,1,1,1,2006-04-08,2006-04-08,0,2,0,0,2
179523,2006,"Fatah","Gaza Strip",34.303056,31.344444,1,1,1,2006-04-08,2006-04-08,0,6,0,0,6
179524,2006,"Fatah","West Bank",35.203762,31.704874,1,1,2,2006-04-09,2006-04-09,0,1,0,0,1
179495,2006,"Fatah","Gaza Strip",34.340847,31.373891,1,1,2,2006-04-12,2006-04-12,0,2,0,0,2
177892,2006,"Fatah","West Bank",35.203762,31.704874,1,1,1,2006-04-23,2006-04-23,0,2,0,0,2
177985,2006,"Fatah","West Bank",35.235272,32.486486,1,1,1,2006-04-27,2006-04-27,0,1,0,0,1
179496,2006,"Fatah","West Bank",35.26362,32.219919,1,1,1,2006-05-12,2006-05-12,0,1,0,0,1
179479,2006,"Fatah","West Bank",35.286583,32.206406,1,1,1,2006-05-30,2006-05-30,0,1,0,0,1
179497,2006,"Fatah","West Bank",35.300857,32.459433,1,1,1,2006-06-13,2006-06-13,0,1,0,0,1
179498,2006,"Fatah","Gaza Strip",34.494541,31.53639,1,1,1,2006-06-20,2006-06-20,0,0,3,0,3
179499,2006,"Fatah","West Bank",35.26362,32.219919,1,1,2,2006-06-21,2006-06-21,0,1,0,0,1
179480,2006,"Fatah","West Bank",35.297436,32.219864,1,1,1,2006-07-07,2006-07-07,0,1,0,0,1
179500,2006,"Fatah","Gaza Strip",34.535787,31.535298,1,1,1,2006-07-11,2006-07-11,0,1,0,0,1
179501,2006,"Fatah","West Bank",35.26362,32.219919,1,1,1,2006-07-17,2006-07-17,1,0,0,0,1
179502,2006,"Fatah","West Bank",35.26362,32.219919,1,1,1,2006-07-19,2006-07-19,0,1,1,5,7
179504,2006,"Fatah","West Bank",35.195547,31.902561,1,1,1,2006-08-28,2006-08-28,0,1,0,0,1
179506,2006,"Fatah","West Bank",35.286583,32.206406,1,1,1,2006-08-29,2006-08-29,0,2,0,0,2
179507,2006,"Fatah","West Bank",35.26362,32.219919,1,1,1,2006-08-31,2006-08-31,0,1,0,0,1
179509,2006,"Fatah","Gaza Strip",34.535787,31.535298,1,1,1,2006-09-02,2006-09-02,0,2,1,0,3
179505,2006,"Fatah","West Bank",35.280881,32.409553,1,1,1,2006-09-07,2006-09-07,0,2,0,0,2
179508,2006,"Fatah","West Bank",35.26362,32.219919,1,1,1,2006-09-13,2006-09-13,0,1,0,0,1
179510,2006,"Fatah","Gaza Strip",34.243439,31.296999,1,1,1,2006-09-30,2006-09-30,0,2,0,0,2
179512,2006,"Fatah","West Bank",35.286583,32.206406,1,1,1,2006-10-08,2006-10-08,0,0,0,0,0
179525,2006,"Fatah","Gaza Strip",34.45,31.516667,1,1,1,2006-10-14,2006-10-14,0,2,0,0,2
179513,2006,"Fatah","West Bank",35.26362,32.219919,1,1,2,2006-10-17,2006-10-17,0,2,0,0,2
179514,2006,"Fatah","West Bank",35.286583,32.206406,1,1,1,2006-11-03,2006-11-03,0,1,0,0,1
179515,2006,"Fatah","Gaza Strip",34.483471,31.5272,1,1,1,2006-11-03,2006-11-03,0,1,0,0,1
179518,2006,"Fatah","West Bank",35.235272,32.486486,1,1,1,2006-11-08,2006-11-08,0,3,1,1,5
179516,2006,"Fatah","Gaza Strip",34.373398,31.425,1,1,3,2006-11-25,2006-11-25,0,1,0,0,1
179519,2006,"Fatah","West Bank",35.028628,32.310367,1,1,1,2006-12-04,2006-12-04,0,0,1,0,1
179520,2006,"Fatah","West Bank",35.26362,32.219919,1,1,1,2006-12-14,2006-12-14,0,0,0,0,0
179526,2006,"Fatah","Southern district",34.497824,31.47319,1,1,1,2006-12-15,2006-12-15,0,1,0,0,1
179521,2006,"Fatah","West Bank",35.26362,32.219919,1,1,1,2006-12-16,2006-12-16,0,2,0,0,2
179522,2006,"Fatah","West Bank",35.26362,32.219919,1,1,1,2006-12-19,2006-12-19,0,1,0,0,1
179517,2006,"Fatah","West Bank",35.028628,32.310367,1,1,2,2006-12-19,2006-12-19,0,1,0,0,1
179649,2007,"Fatah","West Bank",35.195547,31.902561,1,1,1,2007-01-04,2007-01-04,0,0,4,0,4
179651,2007,"Fatah","West Bank",35.26362,32.219919,1,1,1,2007-01-18,2007-01-18,0,1,0,0,1
179652,2007,"Fatah","West Bank",35.059259,32.318469,1,1,1,2007-02-01,2007-02-01,0,1,0,0,1
179650,2007,"Fatah","West Bank",35.26362,32.219919,1,1,1,2007-02-01,2007-02-01,0,2,0,0,2
179653,2007,"Fatah","Tel Aviv district",34.816667,32.083333,1,1,2,2007-02-05,2007-02-05,0,0,1,0,1
179654,2007,"Fatah","West Bank",35.297436,32.219864,1,1,1,2007-03-21,2007-03-21,0,1,0,0,1
179657,2007,"Fatah","West Bank",35.26362,32.219919,1,1,1,2007-03-27,2007-03-27,0,2,0,0,2
179658,2007,"Fatah","West Bank",35.300857,32.459433,1,1,1,2007-03-28,2007-03-28,0,1,0,0,1
179659,2007,"Fatah","West Bank",35.271633,32.42945,1,1,1,2007-03-29,2007-03-29,0,1,0,0,1
179660,2007,"Fatah","West Bank",35.300857,32.459433,1,1,2,2007-04-17,2007-04-17,0,1,0,0,1
