"","nearest_pow","dist_nearest_pow"
"1222",1520,0.00809670000000295
"1223",1663,0.00501079999999376
"1224",1663,0.00501079999999376
"1225",841,0.000668199999999786
"1226",1139,0.00080239999999776
"1227",361,0.0021450999999999
"1228",1626,0.0390967000000053
"1229",361,0.0021450999999999
"1230",361,0.0021450999999999
"1231",1139,0.00080239999999776
"1232",866,0.0011844999999937
"1233",622,0.0011339000000028
"1234",873,0.0218831000000002
"1235",361,0.0021450999999999
"1236",1139,0.00080239999999776
"1237",754,0.00278999999999741
"1238",361,0.0021450999999999
"1239",980,0.00149909999999664
"1240",1346,0.000523300000004667
"1241",1346,0.000523300000004667
"1242",1144,0.0017294000000021
"1243",223,0.00138969999999716
"1244",361,0.0021450999999999
"1245",866,0.0011844999999937
"1246",861,0.0053126999999904
"1247",1522,0.00470430000000377
"1248",909,0.0285666999999989
"1249",866,0.0011844999999937
"1250",866,0.0011844999999937
"1251",866,0.0011844999999937
"1252",874,0.00858080000000072
"1253",866,0.0011844999999937
"1254",361,0.0021450999999999
"1255",1868,0.0321485999999993
"1256",866,0.0011844999999937
"1257",1650,0.0148427999999967
"1258",931,0.0385998000000001
"1259",1520,0.00817070000000086
"1260",892,0.00146760000000512
"1261",1663,0.00501079999999376
"1262",1520,0.00817070000000086
"1263",1520,0.00817070000000086
"1264",1520,0.00817070000000086
"1265",1663,0.00501079999999376
"1266",1663,0.00501079999999376
"1267",1520,0.00817070000000086
"1268",1182,0.004833799999993
"1269",1663,0.00501079999999376
"1270",1663,0.00501079999999376
"1271",1663,0.00501079999999376
"1272",1522,0.00470430000000377
"1273",622,0.0011339000000028
"1274",866,0.0011844999999937
"1275",1520,0.00817070000000086
"1276",1182,0.004833799999993
"1277",1571,0.00688920000000337
"1278",866,0.0011844999999937
"1279",1182,0.004833799999993
"1280",935,0.0756097000000011
"1281",931,0.0385998000000001
"1282",1462,0.0475245000000015
"1283",674,0.000418200000005697
"1284",866,0.0011844999999937
"1285",1462,0.0475245000000015
"1286",866,0.0011844999999937
"1287",1520,0.00817070000000086
"1288",1571,0.00688920000000337
"1289",1571,0.00688920000000337
"1290",361,0.0021450999999999
"1291",1520,0.00809670000000295
"1292",1571,0.00688920000000337
"1293",1571,0.00688920000000337
"1294",1346,0.000523300000004667
"1295",1680,0.00574600000000558
"1296",866,0.0011844999999937
"1297",841,0.000668199999999786
"1298",1680,0.00574600000000558
"1299",1139,0.00080239999999776
"1300",793,0.000354100000002688
"1301",1522,0.00470430000000377
"1302",874,0.00858080000000072
"1303",1914,0.0307160000000053
"1304",910,0.0203364000000015
"1305",1379,0.0129103000000015
"1306",361,0.0021450999999999
"1307",931,0.0385998000000001
"1308",1520,0.00817070000000086
"1309",873,0.0210081000000031
"1310",1836,0.000530599999997605
"1311",931,0.0385998000000001
"1312",866,0.0011844999999937
"1313",1520,0.00817070000000086
"1314",1913,0.00291779999999164
"1315",874,0.00858080000000072
"1316",909,0.0308317000000002
"1317",745,0.001119800000005
"1318",866,0.0011844999999937
"1319",873,0.0210081000000031
"1320",1571,0.00688920000000337
"1321",909,0.0308317000000002
"1322",1426,0.00194799999999162
"1323",361,0.0021450999999999
"1324",1680,0.00574600000000558
"1325",874,0.00858080000000072
"1326",874,0.00858080000000072
"1327",874,0.00858080000000072
"1328",1182,0.004833799999993
"1329",361,0.0021450999999999
"1330",866,0.0011844999999937
"1331",874,0.00858080000000072
"1332",361,0.0021450999999999
"1333",1571,0.00688920000000337
"1334",1663,0.00501079999999376
"1335",874,0.00858080000000072
"1336",866,0.0011844999999937
"1337",914,0.0025528999999942
"1338",1836,0.000530599999997605
"1339",1379,0.0129103000000015
"1340",1520,0.00817070000000086
"1341",1520,0.00817070000000086
"1342",874,0.00858080000000072
"1343",931,0.0385998000000001
"1344",1528,0.0037282999999988
"1345",1680,0.00574600000000558
"1346",930,0.0199340000000028
"1347",1520,0.00817070000000086
"1348",874,0.00858080000000072
"1349",1842,0.000841099999998818
"1350",1364,0.00129219999999108
"1351",1663,0.00501079999999376
"1352",874,0.00858080000000072
"1353",1182,0.004833799999993
"1354",931,0.0385998000000001
"1355",1571,0.00688920000000337
"1356",1836,0.000530599999997605
"1357",1182,0.004833799999993
"1358",1663,0.00501079999999376
"1359",1426,0.00194799999999162
"1360",1379,0.0129103000000015
"1361",1520,0.00817070000000086
"1362",361,0.0021450999999999
"1363",874,0.00858080000000072
"1364",931,0.0385998000000001
"1365",1520,0.00817070000000086
"1366",1462,0.0475245000000015
"1367",1663,0.00501079999999376
"1368",1520,0.00817070000000086
"1369",1571,0.00688920000000337
"1370",1520,0.00817070000000086
"1371",914,0.0025528999999942
"1372",1680,0.00574600000000558
"1373",1571,0.00688920000000337
"1374",1680,0.00574600000000558
"1375",1571,0.00688920000000337
"1376",622,0.0011339000000028
"1377",206,0.00126730000000208
"1378",1680,0.00574600000000558
"1379",1520,0.00817070000000086
"1380",1520,0.00817070000000086
"1381",1663,0.00501079999999376
"1382",1571,0.00688920000000337
"1383",874,0.00858080000000072
"1384",874,0.00858080000000072
"1385",1663,0.00501079999999376
"1386",1379,0.0129103000000015
"1387",874,0.00858080000000072
"1388",886,0.00111689999999953
"1389",1663,0.00501079999999376
"1390",841,0.000668199999999786
"1391",1663,0.00501079999999376
"1392",1379,0.0129103000000015
"1393",1522,0.00470430000000377
"1394",1426,0.00194799999999162
"1395",1663,0.00501079999999376
"1396",1182,0.004833799999993
"1397",1663,0.00501079999999376
"1398",424,0.0215570000000049
"1399",935,0.0756097000000011
"1400",931,0.0385998000000001
"1401",931,0.0385998000000001
"1402",1387,0.000423500000003685
"1403",931,0.0385998000000001
"1404",1261,0.00429470000000265
"1405",841,0.000668199999999786
"1406",931,0.0385998000000001
"1407",1721,0.00197709999999773
"1408",931,0.0385998000000001
"1409",1663,0.00501079999999376
"1410",1680,0.00574600000000558
"1411",931,0.0385998000000001
"1412",1182,0.004833799999993
"1413",1364,0.00129219999999108
"1414",361,0.0021450999999999
"1415",1663,0.00501079999999376
"1416",1663,0.00501079999999376
"1417",1426,0.00194799999999162
"1418",1663,0.00501079999999376
"1419",1663,0.00501079999999376
"1420",1663,0.00501079999999376
"1421",1182,0.004833799999993
"1422",1182,0.004833799999993
"1423",1182,0.004833799999993
"1424",1520,0.00817070000000086
"1425",1520,0.00817070000000086
"1426",1182,0.004833799999993
"1427",1182,0.004833799999993
"1428",1522,0.00470430000000377
"1429",1663,0.00501079999999376
"1430",892,0.00146760000000512
"1431",1462,0.0475245000000015
"1432",892,0.00146760000000512
"1433",1571,0.00688920000000337
"1434",1387,0.000423500000003685
"1435",1139,0.00080239999999776
"1436",1387,0.000423500000003685
"1437",1379,0.0129103000000015
"1438",1663,0.00501079999999376
"1439",1571,0.00688920000000337
"1440",1182,0.004833799999993
"1441",1520,0.00817070000000086
"1442",1522,0.00470430000000377
"1443",1543,0.103322799999997
"1444",1571,0.00200660000000141
"1445",1626,0.0390967000000053
"1446",1663,0.00501079999999376
"1447",1571,0.00688920000000337
"1448",1680,0.00574600000000558
"1449",1571,0.00688920000000337
"1450",1680,0.00574600000000558
"1451",1182,0.004833799999993
"1452",1663,0.00501079999999376
"1453",1868,0.0321485999999993
"1454",931,0.0385998000000001
"1455",841,0.000668199999999786
"1456",1182,0.004833799999993
"1457",1426,0.00194799999999162
"1458",935,0.0576418999999966
"1459",892,0.00146760000000512
"1460",1522,0.00470430000000377
"1461",1520,0.00817070000000086
"1462",874,0.00858080000000072
"1463",873,0.0210081000000031
"1464",1379,0.0129103000000015
"1465",874,0.00858080000000072
"1466",874,0.00858080000000072
"1467",931,0.0385998000000001
"1468",931,0.0385998000000001
"1469",1182,0.004833799999993
"1470",1836,0.000530599999997605
"1471",1571,0.00688920000000337
"1472",931,0.0185574000000059
"1473",1510,0.00171860000000024
"1474",1913,0.00291779999999164
"1475",1571,0.00688920000000337
"1476",1522,0.00470430000000377
"1477",1663,0.00501079999999376
"1478",1663,0.00501079999999376
"1479",1663,0.00501079999999376
"1480",1379,0.0129103000000015
"1481",935,0.0756097000000011
"1482",1680,0.00574600000000558
"1483",1520,0.00817070000000086
"1484",1663,0.00501079999999376
"1485",1663,0.00501079999999376
"1486",1182,0.004833799999993
"1487",1913,0.00291779999999164
"1488",1913,0.00291779999999164
"1489",1379,0.0129103000000015
"1490",1182,0.004833799999993
"1491",941,0.00791530000000407
"1492",1663,0.00501079999999376
"1493",361,0.0021450999999999
"1494",87,0.000544099999999048
"1495",866,0.0011844999999937
"1496",1462,0.0475245000000015
"1497",674,0.000418200000005697
"1498",201,0.00242970000000042
"1499",361,0.0021450999999999
"1500",914,0.0025528999999942
"1501",931,0.0385998000000001
"1502",1182,0.004833799999993
"1503",1571,0.00688920000000337
"1504",1663,0.00501079999999376
"1505",1426,0.00194799999999162
"1506",931,0.0385998000000001
"1507",1182,0.004833799999993
"1508",866,0.0011844999999937
"1509",1379,0.0129103000000015
"1510",1913,0.00291779999999164
"1511",873,0.0282691000000028
"1512",931,0.0385998000000001
"1513",1520,0.00817070000000086
"1514",1520,0.00817070000000086
"1515",1522,0.00470430000000377
"1516",1522,0.00470430000000377
"1517",1571,0.00688920000000337
"1518",1520,0.00817070000000086
"1519",1663,0.00501079999999376
"1520",931,0.0385998000000001
"1521",892,0.00146760000000512
"1522",931,0.0385998000000001
"1523",1520,0.00817070000000086
"1524",1520,0.00817070000000086
"1525",892,0.00146760000000512
"1526",914,0.0025528999999942
"1527",1868,0.0321485999999993
"1528",931,0.0385998000000001
"1529",1571,0.00688920000000337
"1530",892,0.00146760000000512
"1531",1520,0.00817070000000086
"1532",931,0.0385998000000001
"1533",1379,0.0129103000000015
"1534",1520,0.00817070000000086
"1535",1520,0.00817070000000086
"1536",1520,0.00817070000000086
"1537",1520,0.00817070000000086
"1538",1522,0.00470430000000377
"1539",1182,0.004833799999993
"1540",1663,0.00501079999999376
"1541",1663,0.00501079999999376
"1542",874,0.00858080000000072
"1543",1379,0.0129103000000015
"1544",1379,0.0129103000000015
"1545",1663,0.00501079999999376
"1546",1520,0.00817070000000086
"1547",886,0.00111689999999953
"1548",1520,0.00817070000000086
"1549",1520,0.00817070000000086
"1550",1520,0.00817070000000086
"1551",1663,0.00501079999999376
"1552",1520,0.00817070000000086
"1553",1522,0.00470430000000377
"1554",1663,0.00501079999999376
"1555",1520,0.00817070000000086
"1556",1680,0.00574600000000558
"1557",1520,0.00817070000000086
"1558",914,0.0025528999999942
"1559",1663,0.00501079999999376
"1560",886,0.00111689999999953
